id,cluster_id,latitude,longitude,vehicle_type,is_peak,Final_VIRS_Score
V000064,0,12.917466,77.62021,CAR,1,0.9788
V000065,0,12.916437,77.627685,BIKE,1,0.9501
V000066,0,12.910912,77.622732,AUTO,1,0.7194
V000067,0,12.91975,77.620204,CAR,1,0.7384
V000068,0,12.914515,77.624248,BIKE,1,0.99
V000069,0,12.918417,77.623288,BIKE,1,0.9097
V000070,0,12.914836,77.625364,CAR,1,0.6702
V000071,0,12.920586,77.620716,CAR,0,0.9577
V000072,0,12.918138,77.624081,CAR,1,0.7564
V000073,0,12.918734,77.626999,CAR,1,0.733
V000074,0,12.914226,77.619711,BIKE,1,0.8843
V000075,0,12.922516,77.626427,CAR,0,0.961
V000076,0,12.916379,77.614986,BIKE,1,0.99
V000077,0,12.922438,77.616591,CAR,1,0.7098
V000078,0,12.918959,77.625097,CAR,0,0.8932
V000079,0,12.917417,77.621113,CAR,0,0.9151
V000080,0,12.914551,77.623553,AUTO,1,0.9512
V000081,0,12.914381,77.622282,CAR,0,0.8836
V000082,0,12.919285,77.621937,CAR,1,0.8459
V000083,1,12.955814,77.570071,CAR,0,0.53
V000084,1,12.95986,77.576791,AUTO,1,0.9407
V000085,1,12.957922,77.581414,AUTO,1,0.8211
V000086,1,12.955078,77.572447,BIKE,0,0.767
V000087,1,12.955471,77.577571,CAR,0,0.6851
V000088,1,12.953676,77.579713,CAR,0,0.7374
V000089,1,12.958383,77.577712,BIKE,1,0.7873
V000090,1,12.966283,77.574629,BIKE,1,0.6328
V000091,1,12.965458,77.577534,CAR,1,0.7943
V000092,1,12.969308,77.576278,CAR,1,0.8292
V000093,1,12.962332,77.575897,CAR,1,0.8477
V000094,1,12.952708,77.57153,CAR,1,0.755
V000095,1,12.965424,77.572152,BIKE,1,0.8517
V000096,1,12.961741,77.578477,BIKE,1,0.7693
V000097,1,12.961025,77.586391,BIKE,0,0.8368
V000098,1,12.963323,77.575773,AUTO,1,0.7896
V000099,1,12.957594,77.578662,CAR,1,0.9402
V000100,1,12.962816,77.574765,BIKE,1,0.9223
V000101,1,12.953037,77.57002,CAR,1,0.9737
V000102,1,12.95499,77.564142,BUS,0,0.7448
V000103,1,12.958762,77.57786,CAR,1,0.6227
V000104,1,12.960656,77.579163,CAR,1,0.8514
V000105,1,12.964591,77.582516,AUTO,0,0.6936
V000106,1,12.960235,77.581615,CAR,0,0.7569
V000107,1,12.962033,77.582259,CAR,0,0.7666
V000108,1,12.962809,77.569737,BIKE,1,0.8865
V000109,1,12.951423,77.572854,AUTO,1,0.6076
V000110,1,12.960283,77.574986,CAR,1,0.7909
V000111,1,12.963827,77.578651,BIKE,0,0.8562
V000112,1,12.96914,77.575652,BIKE,0,0.7732
V000113,1,12.956022,77.572445,TRUCK,1,0.8015
V000114,1,12.957938,77.579601,CAR,0,0.8987
V000115,1,12.963194,77.576752,CAR,1,0.6362
V000116,1,12.957401,77.576759,BIKE,1,0.6354
V000117,1,12.95999,77.577454,BUS,0,0.5208
V000118,1,12.956711,77.578858,CAR,1,0.99
V000119,1,12.961942,77.582444,CAR,0,0.6633
V000120,1,12.954393,77.570876,BIKE,0,0.7592
V000121,1,12.961967,77.5689,AUTO,1,0.8718
V000122,1,12.95849,77.573454,AUTO,1,0.8749
V000123,1,12.954258,77.578152,BIKE,1,0.6859
V000124,1,12.962785,77.572774,AUTO,1,0.6561
V000125,1,12.958544,77.581805,CAR,1,0.7571
V000126,1,12.958521,77.577885,AUTO,1,0.746
V000127,1,12.956838,77.566349,AUTO,1,0.99
V000128,1,12.953253,77.574758,AUTO,1,0.7757
V000129,1,12.963318,77.578098,AUTO,0,0.6307
V000130,1,12.961688,77.574651,BIKE,0,0.793
V000131,1,12.955917,77.569077,TRUCK,1,0.8297
V000132,1,12.960303,77.582672,CAR,1,0.6776
V000133,1,12.957524,77.57671,CAR,0,0.9555
V000134,1,12.96093,77.57239,AUTO,1,0.7689
V000135,1,12.954537,77.577928,BIKE,1,0.7473
V000136,1,12.962089,77.573145,CAR,1,0.652
V000137,1,12.97053,77.577681,AUTO,1,0.8565
V000138,1,12.9635,77.581007,AUTO,0,0.7474
V000139,1,12.959258,77.574084,CAR,1,0.9049
V000140,1,12.959301,77.577256,CAR,0,0.7805
V000141,1,12.957693,77.57287,CAR,1,0.5316
V000142,1,12.960196,77.580452,CAR,1,0.7806
V000143,1,12.965197,77.572096,CAR,1,0.7007
V000144,1,12.96359,77.575945,AUTO,1,0.8942
V000145,1,12.960157,77.571136,CAR,0,0.6224
V000146,1,12.956911,77.575615,CAR,1,0.9454
V000147,1,12.957308,77.581845,TRUCK,1,0.8439
V000148,1,12.956522,77.577791,CAR,1,0.817
V000149,1,12.962113,77.576632,CAR,1,0.9033
V000150,1,12.952011,77.580007,BIKE,0,0.9525
V000151,1,12.961396,77.579723,CAR,0,0.99
V000152,1,12.957427,77.576046,CAR,1,0.7741
V000153,1,12.968141,77.580544,CAR,0,0.6995
V000154,1,12.96277,77.580999,CAR,1,0.8862
V000155,1,12.962363,77.568866,CAR,0,0.82
V000156,1,12.967727,77.582916,AUTO,1,0.9731
V000157,1,12.961048,77.576811,CAR,1,0.6788
V000158,1,12.955789,77.575795,BUS,1,0.8004
V000159,1,12.961046,77.576995,BIKE,1,0.8153
V000160,1,12.960396,77.573016,CAR,1,0.66
V000161,1,12.953853,77.575509,CAR,0,0.9295
V000162,1,12.961156,77.57262,CAR,1,0.68
V000163,1,12.966149,77.5804,BUS,1,0.7941
V000164,1,12.961869,77.575192,BIKE,1,0.7407
V000165,1,12.958488,77.577246,BIKE,1,0.7618
V000166,1,12.956442,77.574075,AUTO,0,0.9825
V000167,1,12.956352,77.567533,AUTO,1,0.5866
V000168,1,12.96053,77.580857,AUTO,1,0.4893
V000169,1,12.956489,77.574481,AUTO,1,0.7197
V000170,1,12.96671,77.58335,BUS,1,0.7697
V000171,1,12.968015,77.575627,CAR,1,0.8257
V000172,1,12.964405,77.573171,TRUCK,1,0.9263
V000173,1,12.964634,77.576124,CAR,1,0.8434
V000174,1,12.9627,77.568252,CAR,1,0.89
V000175,1,12.960766,77.576336,CAR,1,0.7268
V000176,1,12.959372,77.573661,CAR,1,0.8044
V000177,1,12.963897,77.576252,CAR,1,0.583
V000178,1,12.960116,77.575586,TRUCK,0,0.8066
V000179,1,12.956556,77.571312,CAR,1,0.6788
V000180,1,12.959275,77.565993,BIKE,1,0.6055
V000181,1,12.959366,77.576154,AUTO,1,0.7726
V000182,1,12.957551,77.577916,CAR,0,0.6257
V000183,1,12.96041,77.582353,CAR,0,0.7353
V000184,1,12.955892,77.57628,CAR,1,0.6809
V000185,1,12.963222,77.573511,AUTO,0,0.9285
V000186,1,12.957148,77.578118,CAR,1,0.9736
V000187,1,12.957532,77.576477,BIKE,1,0.7414
V000188,1,12.960321,77.577655,CAR,1,0.7821
V000189,1,12.962793,77.580661,CAR,1,0.99
V000190,1,12.956397,77.575648,CAR,0,0.9228
V000191,1,12.964546,77.577963,CAR,1,0.954
V000192,1,12.962343,77.564278,BIKE,1,0.8559
V000193,1,12.962807,77.57791,CAR,1,0.6705
V000194,1,12.959064,77.584972,AUTO,1,0.8098
V000195,1,12.961524,77.571991,CAR,0,0.7968
V000196,1,12.959977,77.573031,CAR,1,0.9209
V000197,1,12.960575,77.576892,CAR,0,0.884
V000198,1,12.965419,77.574351,BIKE,0,0.64
V000199,1,12.954877,77.576918,AUTO,1,0.8983
V000200,1,12.955383,77.577324,BIKE,1,0.7737
V000201,1,12.966917,77.583177,CAR,1,0.9678
V000202,1,12.964067,77.576485,CAR,1,0.8257
V000203,1,12.958083,77.574342,CAR,1,0.8861
V000204,1,12.96368,77.574501,CAR,1,0.9007
V000205,1,12.966769,77.573997,CAR,1,0.6114
V000206,1,12.961209,77.574905,CAR,1,0.7696
V000207,1,12.962264,77.577639,BIKE,0,0.8839
V000208,1,12.952279,77.576144,CAR,0,0.8094
V000209,1,12.961811,77.573999,CAR,0,0.8682
V000210,1,12.964945,77.573769,AUTO,1,0.9067
V000211,1,12.964896,77.578794,CAR,1,0.8222
V000212,1,12.958849,77.57817,BUS,0,0.6953
V000213,1,12.960184,77.576439,CAR,1,0.99
V000214,1,12.961599,77.577645,BIKE,1,0.8242
V000215,1,12.966816,77.574174,CAR,1,0.9459
V000216,1,12.956712,77.57782,CAR,0,0.9834
V000217,1,12.956542,77.575083,CAR,1,0.6189
V000218,1,12.966276,77.587237,BUS,1,0.7396
V000219,1,12.960395,77.57773,AUTO,1,0.8174
V000220,1,12.955408,77.569825,CAR,1,0.8884
V000221,1,12.961034,77.57918,BUS,0,0.8316
V000222,1,12.960732,77.582317,BUS,1,0.8693
V000223,1,12.96552,77.578456,BIKE,1,0.8818
V000224,1,12.963803,77.570577,CAR,1,0.7146
V000225,1,12.96695,77.574913,AUTO,1,0.6717
V000226,1,12.961316,77.580535,BIKE,1,0.7666
V000227,1,12.962801,77.576012,AUTO,1,0.72
V000228,1,12.959919,77.583085,CAR,0,0.7982
V000229,1,12.957423,77.574948,CAR,1,0.7277
V000230,1,12.966154,77.576247,BIKE,0,0.8145
V000231,1,12.967875,77.566722,CAR,0,0.5698
V000232,1,12.96376,77.577892,CAR,0,0.7639
V000233,1,12.961736,77.579851,BIKE,1,0.8427
V000234,1,12.961442,77.576005,AUTO,1,0.9868
V000235,1,12.956252,77.574547,BIKE,1,0.7794
V000236,1,12.957557,77.58583,CAR,1,0.99
V000237,1,12.956403,77.568367,CAR,0,0.796
V000238,1,12.954599,77.572952,CAR,1,0.8278
V000239,1,12.955718,77.579419,CAR,1,0.714
V000240,1,12.955494,77.574735,CAR,0,0.8538
V000241,1,12.967127,77.58003,CAR,1,0.7792
V000242,1,12.968842,77.571088,CAR,1,0.6988
V000243,1,12.95571,77.574055,CAR,0,0.8604
V000244,1,12.958303,77.573151,CAR,1,0.7045
V000245,1,12.964547,77.574044,TRUCK,1,0.7877
V000246,1,12.955488,77.568758,CAR,0,0.54
V000247,1,12.960822,77.581162,BUS,1,0.8593
V000248,1,12.963096,77.578915,BIKE,0,0.7408
V000249,1,12.958802,77.571509,BIKE,0,0.6679
V000250,1,12.961346,77.577308,CAR,1,0.7149
V000251,1,12.963473,77.582208,BIKE,1,0.9632
V000252,1,12.958876,77.580179,TRUCK,0,0.8182
V000253,1,12.960314,77.569762,BIKE,1,0.9261
V000254,1,12.962208,77.573098,CAR,1,0.7346
V000255,1,12.967959,77.574071,CAR,1,0.9299
V000256,1,12.959211,77.575802,AUTO,0,0.7961
V000257,1,12.963601,77.578374,TRUCK,1,0.99
V000258,1,12.962492,77.573506,CAR,1,0.8128
V000259,1,12.962455,77.575128,AUTO,1,0.9532
V000260,1,12.964183,77.576242,CAR,0,0.8401
V000261,1,12.969014,77.579297,CAR,0,0.8304
V000262,1,12.952483,77.577031,BUS,0,0.9115
V000263,1,12.95637,77.572139,CAR,1,0.8164
V000264,1,12.963457,77.579015,BUS,1,0.7799
V000265,1,12.965932,77.564888,CAR,0,0.7683
V000266,1,12.9583,77.577616,AUTO,1,0.8779
V000267,1,12.962504,77.57006,CAR,1,0.9528
V000268,1,12.960911,77.569748,BIKE,1,0.8375
V000269,1,12.954644,77.575505,CAR,1,0.899
V000270,1,12.964506,77.57708,BUS,1,0.8594
V000271,1,12.963632,77.586843,CAR,1,0.7843
V000272,1,12.962756,77.573893,TRUCK,1,0.6861
V000273,1,12.958071,77.579664,CAR,0,0.7969
V000274,1,12.955832,77.577411,CAR,1,0.99
V000275,1,12.958972,77.574359,CAR,1,0.7795
V000276,1,12.954067,77.579448,CAR,0,0.7644
V000277,1,12.966315,77.580983,AUTO,0,0.9252
V000278,1,12.962619,77.569579,AUTO,1,0.8071
V000279,1,12.961709,77.577165,BIKE,1,0.9868
V000280,1,12.95973,77.575341,CAR,1,0.5997
V000281,1,12.956654,77.577346,TRUCK,1,0.7001
V000282,1,12.95883,77.577849,BUS,1,0.5855
V000283,1,12.96027,77.578302,CAR,1,0.6408
V000284,1,12.960184,77.574033,BIKE,0,0.7403
V000285,1,12.963607,77.575965,AUTO,1,0.8716
V000286,1,12.954728,77.581044,CAR,1,0.9741
V000287,1,12.964982,77.579885,AUTO,1,0.8134
V000288,1,12.962562,77.581605,BIKE,1,0.8318
V000289,1,12.964685,77.578619,TRUCK,1,0.8995
V000290,1,12.957527,77.569458,BIKE,1,0.8384
V000291,1,12.949178,77.571011,CAR,1,0.9445
V000292,1,12.955437,77.581755,CAR,0,0.7927
V000293,1,12.967066,77.574774,CAR,0,0.7388
V000294,1,12.960579,77.574419,BIKE,0,0.9861
V000295,1,12.961363,77.583141,BIKE,0,0.8529
V000296,1,12.957585,77.577839,BIKE,0,0.9286
V000297,1,12.955559,77.570291,CAR,1,0.5979
V000298,1,12.960946,77.566958,CAR,1,0.7871
V000299,1,12.955171,77.574437,CAR,1,0.99
V000300,1,12.961458,77.57732,CAR,1,0.9033
V000301,1,12.955508,77.577313,CAR,1,0.8314
V000302,1,12.95851,77.571713,BIKE,0,0.7676
V000303,1,12.9564,77.578848,AUTO,1,0.6682
V000304,1,12.966301,77.577321,CAR,1,0.7846
V000305,1,12.960827,77.58399,CAR,1,0.8259
V000306,1,12.964582,77.56801,AUTO,0,0.6081
V000307,1,12.966248,77.574739,BUS,1,0.5779
V000308,1,12.960063,77.575246,BIKE,1,0.7591
V000309,1,12.960318,77.567461,CAR,1,0.8841
V000310,1,12.964926,77.571341,CAR,0,0.99
V000311,1,12.954251,77.572279,AUTO,1,0.99
V000312,1,12.961948,77.57558,TRUCK,1,0.9737
V000313,1,12.957787,77.578205,CAR,1,0.8575
V000314,1,12.958673,77.574538,BIKE,1,0.6449
V000315,1,12.964086,77.579236,TRUCK,1,0.7925
V000316,1,12.957734,77.571413,CAR,0,0.6972
V000317,1,12.961648,77.578919,CAR,0,0.6195
V000318,1,12.962366,77.575948,CAR,1,0.6356
V000319,1,12.965115,77.567143,CAR,1,0.8515
V000320,1,12.963201,77.573188,BIKE,1,0.7957
V000321,1,12.964771,77.57206,BIKE,0,0.7553
V000322,1,12.960305,77.573082,CAR,1,0.8554
V000323,1,12.961954,77.582311,BIKE,1,0.6819
V000324,1,12.966058,77.570313,BIKE,1,0.7725
V000325,1,12.961781,77.575129,CAR,1,0.7639
V000326,1,12.96083,77.576314,CAR,1,0.7286
V000327,1,12.953892,77.577296,CAR,1,0.7188
V000328,1,12.964047,77.580702,AUTO,0,0.8331
V000329,1,12.967362,77.5775,CAR,1,0.9393
V000330,1,12.961584,77.575932,TRUCK,0,0.844
V000331,1,12.964895,77.576033,BIKE,0,0.7855
V000332,1,12.951344,77.578594,BIKE,1,0.6309
V000333,1,12.965678,77.575285,TRUCK,1,0.7267
V000334,1,12.963145,77.574457,CAR,0,0.7816
V000335,1,12.953961,77.579007,BUS,1,0.8254
V000336,1,12.960589,77.583193,CAR,1,0.953
V000337,1,12.961008,77.577128,CAR,0,0.7262
V000338,1,12.96154,77.5778,CAR,1,0.7827
V000339,1,12.962458,77.573096,CAR,1,0.7763
V000340,1,12.958849,77.580914,CAR,0,0.7333
V000341,1,12.961992,77.575434,CAR,0,0.9148
V000342,1,12.960379,77.570472,CAR,1,0.7462
V000343,1,12.959137,77.585498,CAR,0,0.6015
V000344,2,12.956566,77.691699,BIKE,1,0.8084
V000345,2,12.957039,77.7051,AUTO,1,0.7603
V000346,2,12.958564,77.700547,TRUCK,0,0.6585
V000347,2,12.953886,77.703425,CAR,1,0.6194
V000348,2,12.953349,77.708692,CAR,0,0.9153
V000349,2,12.953883,77.701293,AUTO,1,0.7845
V000350,2,12.955142,77.695232,CAR,1,0.718
V000351,2,12.955242,77.697721,CAR,1,0.7934
V000352,2,12.958026,77.695753,AUTO,1,0.8605
V000353,2,12.957255,77.699033,BIKE,0,0.8871
V000354,2,12.953375,77.698737,BIKE,1,0.9119
V000355,2,12.965071,77.696877,BIKE,1,0.7885
V000356,2,12.95348,77.696771,CAR,1,0.6538
V000357,2,12.959369,77.697329,CAR,0,0.99
V000358,2,12.954194,77.701288,BIKE,1,0.6246
V000359,2,12.957188,77.695613,BIKE,0,0.8053
V000360,2,12.959237,77.701382,TRUCK,1,0.4876
V000361,2,12.960852,77.705437,CAR,1,0.589
V000362,2,12.949367,77.700968,AUTO,0,0.8129
V000363,2,12.954697,77.699691,TRUCK,1,0.7622
V000364,2,12.955841,77.70277,CAR,0,0.7435
V000365,2,12.948316,77.702908,BIKE,0,0.7799
V000366,2,12.948189,77.693105,CAR,1,0.8129
V000367,2,12.954151,77.703657,BIKE,1,0.8919
V000368,2,12.947569,77.704077,BIKE,0,0.9266
V000369,2,12.958695,77.704442,BUS,0,0.9671
V000370,2,12.958989,77.70123,BIKE,1,0.6459
V000371,2,12.956352,77.701878,BIKE,1,0.749
V000372,2,12.953651,77.701044,AUTO,1,0.8855
V000373,2,12.947849,77.701131,CAR,1,0.6458
V000374,2,12.953434,77.701925,CAR,1,0.7441
V000375,2,12.953232,77.700325,CAR,1,0.9052
V000376,2,12.958622,77.696662,AUTO,0,0.9495
V000377,2,12.956629,77.700164,BIKE,1,0.8614
V000378,2,12.959488,77.698753,BIKE,0,0.7061
V000379,2,12.948686,77.703919,CAR,1,0.99
V000380,2,12.958899,77.706688,CAR,1,0.7252
V000381,2,12.957067,77.696746,AUTO,1,0.804
V000382,2,12.960098,77.697867,CAR,1,0.6436
V000383,2,12.953674,77.694796,CAR,0,0.8344
V000384,2,12.953782,77.705285,CAR,0,0.8524
V000385,2,12.951356,77.701129,BUS,0,0.7977
V000386,2,12.952878,77.703039,AUTO,1,0.8462
V000387,2,12.943809,77.698536,CAR,0,0.903
V000388,2,12.951625,77.705108,BIKE,1,0.5494
V000389,2,12.95123,77.698668,CAR,1,0.6579
V000390,2,12.949123,77.699386,BIKE,1,0.6764
V000391,2,12.962417,77.700867,CAR,1,0.6406
V000392,2,12.950902,77.701379,BUS,1,0.6327
V000393,2,12.948789,77.697991,CAR,1,0.6709
V000394,2,12.956226,77.701981,AUTO,1,0.5668
V000395,2,12.951902,77.704632,BIKE,1,0.6357
V000396,2,12.956657,77.698438,CAR,1,0.7475
V000397,2,12.95794,77.701954,CAR,1,0.7694
V000398,2,12.955057,77.699773,BIKE,1,0.7926
V000399,2,12.959079,77.693427,CAR,1,0.8061
V000400,2,12.956683,77.698758,BIKE,1,0.7837
V000401,2,12.95484,77.701794,CAR,1,0.6879
V000402,2,12.957563,77.703181,BIKE,0,0.8078
V000403,2,12.957568,77.702215,TRUCK,0,0.769
V000404,2,12.954192,77.698336,CAR,1,0.8321
V000405,2,12.960491,77.700623,AUTO,1,0.6467
V000406,2,12.950942,77.708109,CAR,1,0.8591
V000407,2,12.962361,77.701637,CAR,1,0.7766
V000408,2,12.957906,77.701059,CAR,1,0.6852
V000409,2,12.950666,77.695113,AUTO,1,0.8478
V000410,2,12.954088,77.706233,CAR,1,0.7208
V000411,2,12.956455,77.703947,CAR,1,0.7245
V000412,2,12.957178,77.704691,BIKE,1,0.8592
V000413,2,12.950483,77.697023,CAR,0,0.8593
V000414,2,12.951508,77.704067,CAR,1,0.633
V000415,2,12.957466,77.703332,BIKE,1,0.7209
V000416,2,12.951628,77.695212,CAR,1,0.9867
V000417,2,12.954764,77.700309,CAR,0,0.8957
V000418,2,12.955216,77.699631,CAR,1,0.6112
V000419,2,12.956226,77.695855,CAR,1,0.7759
V000420,2,12.95234,77.702629,CAR,0,0.8264
V000421,2,12.96009,77.704108,BIKE,1,0.7686
V000422,2,12.957871,77.70178,AUTO,1,0.8555
V000423,2,12.956378,77.704139,TRUCK,1,0.8845
V000424,2,12.962174,77.702027,BIKE,1,0.5743
V000425,2,12.954881,77.698952,AUTO,1,0.9481
V000426,2,12.956846,77.702562,CAR,1,0.8396
V000427,2,12.957958,77.699963,CAR,0,0.7875
V000428,2,12.95909,77.703221,CAR,1,0.7853
V000429,2,12.955888,77.701773,BIKE,1,0.99
V000430,2,12.960274,77.701392,AUTO,0,0.99
V000431,2,12.952805,77.699594,CAR,0,0.8099
V000432,2,12.961036,77.70062,CAR,1,0.7401
V000433,2,12.953122,77.698223,AUTO,1,0.6669
V000434,2,12.956509,77.700746,CAR,0,0.8678
V000435,2,12.956897,77.703404,BIKE,0,0.8199
V000436,2,12.953025,77.698914,BUS,1,0.6667
V000437,2,12.961205,77.703534,CAR,1,0.8526
V000438,2,12.949163,77.698046,CAR,1,0.7061
V000439,2,12.954801,77.696134,CAR,1,0.8202
V000440,2,12.958031,77.703412,CAR,1,0.7352
V000441,2,12.94855,77.69699,AUTO,1,0.5711
V000442,2,12.954126,77.709044,CAR,1,0.8459
V000443,2,12.952003,77.701147,CAR,1,0.8008
V000444,2,12.956056,77.700139,BIKE,0,0.6824
V000445,2,12.956363,77.703419,BIKE,0,0.9097
V000446,2,12.957751,77.703443,BIKE,0,0.7279
V000447,2,12.961167,77.708113,CAR,0,0.676
V000448,2,12.955608,77.698403,BIKE,1,0.6017
V000449,2,12.956344,77.697824,CAR,1,0.648
V000450,2,12.958317,77.709743,CAR,1,0.8133
V000451,2,12.950852,77.707331,CAR,0,0.6692
V000452,2,12.955639,77.69739,BUS,1,0.7434
V000453,2,12.950425,77.70477,CAR,0,0.8391
V000454,2,12.953022,77.700781,TRUCK,0,0.9199
V000455,2,12.958701,77.691475,CAR,1,0.9041
V000456,2,12.956987,77.705338,BUS,1,0.8461
V000457,2,12.956553,77.70022,CAR,1,0.8373
V000458,2,12.955143,77.693615,CAR,1,0.7253
V000459,2,12.958525,77.704634,BUS,1,0.7952
V000460,2,12.963545,77.698814,BIKE,1,0.5419
V000461,2,12.96042,77.702108,BIKE,0,0.835
V000462,2,12.96511,77.704884,CAR,1,0.5904
V000463,2,12.960811,77.699294,CAR,0,0.9198
V000464,2,12.953,77.69897,CAR,0,0.7433
V000465,2,12.944949,77.699261,AUTO,1,0.8243
V000466,2,12.956054,77.706164,AUTO,1,0.8114
V000467,2,12.961475,77.701224,BIKE,1,0.8395
V000468,2,12.95762,77.709938,BIKE,1,0.7476
V000469,2,12.960561,77.701047,CAR,0,0.494
V000470,2,12.96188,77.701678,AUTO,1,0.9
V000471,2,12.957043,77.700866,AUTO,0,0.721
V000472,2,12.959338,77.705198,BIKE,0,0.8813
V000473,2,12.947781,77.700246,BUS,1,0.8774
V000474,2,12.953233,77.707008,BIKE,0,0.8699
V000475,2,12.955851,77.70179,CAR,1,0.6378
V000476,2,12.957296,77.705837,BIKE,0,0.9686
V000477,2,12.954591,77.702921,CAR,1,0.99
V000478,2,12.954449,77.697467,CAR,1,0.8747
V000479,2,12.955541,77.707372,BIKE,1,0.7374
V000480,2,12.953204,77.701171,AUTO,0,0.7696
V000481,2,12.949869,77.698932,TRUCK,1,0.8621
V000482,2,12.958674,77.705492,BUS,1,0.7746
V000483,2,12.94936,77.702235,BIKE,1,0.6735
V000484,2,12.955267,77.698423,BIKE,0,0.8506
V000485,2,12.957125,77.69821,CAR,1,0.6761
V000486,2,12.954582,77.691511,CAR,1,0.7157
V000487,2,12.949189,77.695235,BIKE,1,0.9132
V000488,2,12.953472,77.703465,BIKE,1,0.5007
V000489,2,12.9622,77.699257,CAR,1,0.7921
V000490,2,12.953693,77.700933,CAR,1,0.99
V000491,2,12.951927,77.70141,AUTO,1,0.7509
V000492,2,12.949296,77.697068,CAR,0,0.8132
V000493,2,12.95628,77.703285,CAR,0,0.6634
V000494,2,12.966415,77.699496,TRUCK,0,0.725
V000495,2,12.95386,77.699387,TRUCK,1,0.8449
V000496,2,12.956358,77.704984,CAR,1,0.7074
V000497,2,12.950962,77.695747,CAR,1,0.7614
V000498,2,12.952904,77.699238,CAR,1,0.9387
V000499,2,12.954156,77.699267,TRUCK,0,0.8193
V000500,2,12.956146,77.692874,BIKE,1,0.8054
V000501,2,12.963266,77.697475,CAR,1,0.8061
V000502,2,12.955543,77.701428,CAR,1,0.8818
V000503,2,12.956919,77.700991,CAR,1,0.8778
V000504,2,12.952952,77.705363,BIKE,0,0.99
V000505,2,12.953808,77.705928,CAR,1,0.8464
V000506,2,12.957938,77.705871,BIKE,1,0.8903
V000507,2,12.959621,77.699771,CAR,1,0.7078
V000508,2,12.95922,77.701495,BIKE,0,0.7096
